canton,prefecture,region,nb_eau,nb_elevage,nb_pisciculture,nb_abattoir,IRAT,statut
Abobo,Zio,Maritime,2.0,8.0,1.0,0.0,66.14702035213966,Résilient
Adiva,Amou,Plateaux,1.0,1.0,0.0,0.0,38.34710743801653,Intermédiaire
Adjengré,Sotouboua,Centrale,4.0,12.0,0.0,0.0,63.62250632477501,Résilient
Adogbénou,Anié,Plateaux,3.0,2.0,0.0,0.0,48.422246085221,Intermédiaire
Adétikopé,Agoè-Nyivé,Maritime,2.0,7.0,0.0,0.0,54.39264787689572,Résilient
Affem,Tchamba,Centrale,8.0,6.0,0.0,0.0,62.06801395840817,Résilient
Aflao-Gakli,Golfe,Maritime,8.0,3.0,0.0,0.0,55.7556803029469,Résilient
Agbélouvé,Zio,Maritime,9.0,16.0,4.0,0.0,83.4242048807808,Résilient
Agome-Glozou,Bas-Mono,Maritime,11.0,10.0,1.0,0.0,77.9306983901688,Résilient
Agotimé-Nord,Agou,Plateaux,30.0,19.0,0.0,0.0,72.49574108924496,Résilient
Agotimé-Sud (Adzakpa),Agou,Plateaux,8.0,14.0,1.0,0.0,78.52631516182971,Résilient
Agou-Atigbé,Agou,Plateaux,5.0,4.0,1.0,0.0,67.81721693143328,Résilient
Agou-Iboé,Agou,Plateaux,1.0,3.0,0.0,0.0,43.395233597502276,Intermédiaire
Agou-Nyogbo-Agbétiko,Agou,Plateaux,4.0,11.0,1.0,0.0,73.54897516079654,Résilient
Agouloudè,Tchaoudjo,Centrale,2.0,6.0,2.0,0.0,66.3519981513367,Résilient
Agouégan,Lacs,Maritime,6.0,1.0,3.0,0.0,62.24865908345056,Résilient
Aklakou,Lacs,Maritime,8.0,7.0,0.0,0.0,63.77872400012857,Résilient
Akpakpakpé,Haho,Plateaux,3.0,13.0,0.0,0.0,61.78684642459267,Résilient
Akparé,Ogou,Plateaux,3.0,12.0,0.0,0.0,61.39889667278391,Résilient
Akpontè,Kéran,Kara,3.0,1.0,0.0,0.0,44.593580704940294,Intermédiaire
Alloum,Doufelgou,Kara,2.0,0.0,0.0,0.0,34.90358126721763,Intermédiaire
Alédjo,Assoli,Kara,2.0,14.0,0.0,0.0,58.14481946117704,Résilient
Aléhéridè,Tchaoudjo,Centrale,4.0,5.0,0.0,0.0,57.04904421103684,Résilient
Amoussou-Kopé,Agou,Plateaux,21.0,28.0,4.0,0.0,86.54643445181802,Résilient
Amoutivé,Golfe,Maritime,2.0,11.0,1.0,0.0,67.67263602978947,Résilient
Ando,Avé,Maritime,17.0,11.0,0.0,0.0,68.99975982940717,Résilient
Anié,Anié,Plateaux,2.0,20.0,1.0,0.0,69.63859192851704,Résilient
Aouda,Sotouboua,Centrale,4.0,12.0,0.0,0.0,63.62250632477501,Résilient
Asrama,Haho,Plateaux,7.0,21.0,0.0,0.0,69.14592230273644,Résilient
Assahoun,Avé,Maritime,11.0,6.0,1.0,0.0,73.49841688065095,Résilient
Assahoun-Fiagbé,Agou,Plateaux,1.0,5.0,0.0,0.0,46.37683387132717,Intermédiaire
Ataloté,Kéran,Kara,5.0,2.0,0.0,0.0,51.064914137599,Résilient
Atchangbadè,Kozah,Kara,6.0,7.0,0.0,0.0,62.74034524940534,Résilient
Atchavé,Haho,Plateaux,8.0,28.0,0.0,0.0,69.98493437827312,Résilient
Avédjè,Amou,Plateaux,1.0,12.0,2.0,0.0,65.70562225890453,Résilient
Awandjélo,Kozah,Kara,2.0,5.0,0.0,0.0,51.40926675467889,Résilient
Badin-Copé,Est-Mono,Plateaux,1.0,2.0,0.0,0.0,40.96888963859201,Intermédiaire
Badja,Avé,Maritime,26.0,18.0,0.0,0.0,72.13216935688556,Résilient
Baga,Doufelgou,Kara,4.0,1.0,2.0,0.0,59.78647945090195,Résilient
Baghan,Bassar,Kara,2.0,0.0,0.0,0.0,34.90358126721763,Intermédiaire
Baguida,Golfe,Maritime,3.0,47.0,6.0,0.0,77.67832496243084,Résilient
Bapuré,Dankpen,Kara,4.0,0.0,0.0,0.0,39.90358126721763,Intermédiaire
Barkoissi,Oti,Savanes,3.0,2.0,0.0,0.0,48.422246085221,Intermédiaire
Bassar,Bassar,Kara,4.0,12.0,0.0,1.0,72.4563575921362,Résilient
Blitta,Blitta,Centrale,11.0,52.0,1.0,0.0,81.21061239392863,Résilient
Blitta-Village,Blitta,Centrale,2.0,7.0,0.0,0.0,54.39264787689572,Résilient
Boadé,Cinkassé,Savanes,2.0,0.0,0.0,0.0,34.90358126721763,Intermédiaire
Bodjondè,Sotouboua,Centrale,2.0,5.0,0.0,0.0,51.40926675467889,Résilient
Bogou,Tandjoaré,Savanes,3.0,0.0,0.0,0.0,38.1267217630854,Intermédiaire
Bolou,Zio,Maritime,14.0,35.0,0.0,0.0,72.67648438553287,Résilient
Bombouaka,Tandjoaré,Savanes,21.0,3.0,0.0,1.0,65.08090085128254,Résilient
Boulohou,Mô,Centrale,4.0,2.0,0.0,0.0,49.93583178735234,Intermédiaire
Bè-Est,Golfe,Maritime,2.0,9.0,3.0,1.0,78.93007359971627,Résilient
Bè-Ouest,Golfe,Maritime,6.0,34.0,0.0,2.0,77.88690696392581,Résilient
Cinkassé,Cinkassé,Savanes,1.0,6.0,0.0,1.0,57.716858941854895,Résilient
Commune De Kara,Kozah,Kara,4.0,9.0,2.0,1.0,83.42790549267215,Résilient
Dalavé,Zio,Maritime,2.0,8.0,0.0,0.0,55.21432367002909,Résilient
Dalia,Haho,Plateaux,2.0,27.0,0.0,0.0,59.5788512999923,Résilient
Danyi-Atigba,Danyi,Plateaux,2.0,6.0,2.0,0.0,66.3519981513367,Résilient
Dapaong,Tône,Savanes,11.0,7.0,0.0,0.0,64.9374737138483,Résilient
Dimori,Bassar,Kara,2.0,6.0,0.0,0.0,52.97512340466481,Résilient
Djagblé,Zio,Maritime,2.0,5.0,0.0,0.0,51.40926675467889,Résilient
Djemegni,Haho,Plateaux,5.0,19.0,0.0,0.0,67.07296703044176,Résilient
Djon,Akébou,Plateaux,2.0,3.0,0.0,0.0,48.16053809624029,Intermédiaire
Défalé,Doufelgou,Kara,2.0,1.0,1.0,0.0,53.87741046831956,Résilient
